Event Title,Event Date,City,Region,Distances,Difficulty,Registration Link,Kind Of Sports,Source
СПб полумарафон «Северная cтолица» 2024,2024-08-04,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км",medium,https://marathonec.ru/spb-polumarafon-severnaya-stolica-gid/,Running,https://marathonec.ru/
Malidak Ultra,2024-08-09,Белорецк,Башкортостан,"101 км, 12 км, 13 км, 21 км, 25 км, 40 км, 5 км, 78 км",ultra,https://marathonec.ru/malidak-ultra/,Running,https://marathonec.ru/
Ультрамарафон «Пещерные города»,2024-08-10,Бахчисарай,Крым,"100 км, 15 км, 2 км, 28 км, 55 км, 6 км, 80 км",ultra,https://orgeo.ru/event/29746#new_tab,Running,https://marathonec.ru/
Полумарафон «Лужники» 2024,2024-08-18,Москва,Москва,21 км,medium,https://marathonec.ru/polumarafon-luzhniki-gid/,Running,https://marathonec.ru/
Риеккалансаари трейл,2024-08-23,Риеккалансаари,Карелия,"12 км, 25 км, 35 км, 55 км, 7 км, 80 км",ultra,https://marathonec.ru/riekkalansaari-trail/,Running,https://marathonec.ru/
Ночной забег PushkinRun,2024-08-24,Санкт-Петербург,Санкт-Петербург,"10 км, 5 км",light,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
Красмарафон «Жара»,2024-08-25,Красноярск,Красноярский,"10 км, 2 км, 21 км, 5 км",medium,https://marathonec.ru/krasmarafon-zhara/,Running,https://marathonec.ru/
Fury Trail,2024-08-25,Ангарск,Иркутская,"12 км, 22 км",medium,http://angtrl.tilda.ws/fury#new_tab,Running,https://marathonec.ru/
Экиден PushkinRun Москва,2024-08-25,Москва,Москва,42 км,long,https://pushkin-run.ru#new_tab,Running,https://marathonec.ru/
Благотворительный забег «Спорт во благо»,2024-08-31,Нижний Новгород,Нижегородская,"1 км, 3 км",light,https://vk.com/sportvoblagonn#new_tab,Running,https://marathonec.ru/
Vottovaara Mountain Race,2024-09-07,Гимолы,Карелия,"100 миль, 14 км, 50 миль, 55 км",ultra,https://marathonec.ru/vottovaara-mountain-race/,Running,https://marathonec.ru/
